i,t,axis_pos,mapper_pos,estimator_pos,spi_raw,spi_errors,spi_status,axis_pos_d,mapper_pos_d,estimator_pos_d,spi_raw_d,dt
1270,15.383182599209249,0.0574951171875,0.05378621816635132,0.9956888556480408,0.99700927734375,0,0,-1.1920928955078125e-07,-0.0037090182304382324,-0.0013205409049987793,0.0,0.012030759127810597
1271,15.395565708167851,0.0574953556060791,0.0574953556060791,0.9970095157623291,0.99700927734375,0,0,2.384185791015625e-07,0.003709137439727783,0.00132066011428833,0.0,0.012383108958601952
1272,15.407654003007337,0.05156749486923218,0.05458879470825195,0.9952710866928101,0.99700927734375,0,0,-0.005927860736846924,-0.0029065608978271484,-0.001738429069519043,0.0,0.01208829483948648
1273,15.41983403917402,0.05753505229949951,0.05752575397491455,0.9970349073410034,0.99700927734375,0,0,0.005967557430267334,0.0029369592666625977,0.0017638206481933594,0.0,0.01218003616668284
1274,15.432012389181182,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-3.981590270996094e-05,-3.0517578125e-05,-2.5510787963867188e-05,0.0,0.012178350007161498
1275,15.44428681419231,0.05763876438140869,0.05764275789260864,0.9971427917480469,0.99700927734375,0,0,0.00014352798461914062,0.0001475214958190918,0.00013339519500732422,0.0,0.012274425011128187
1276,15.456546348985285,0.05753016471862793,0.0575219988822937,0.9970318078994751,0.99700927734375,0,0,-0.00010859966278076172,-0.0001207590103149414,-0.00011098384857177734,0.0,0.012259534792974591
1277,15.4686425330583,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-3.4928321838378906e-05,-2.676248550415039e-05,-2.2411346435546875e-05,0.0,0.012096184073016047
1278,15.480793180176988,0.057615041732788086,0.057643234729766846,0.9971534609794617,0.99700927734375,0,0,0.00011980533599853516,0.00014799833297729492,0.00014406442642211914,0.0,0.01215064711868763
1279,15.493047271156684,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-0.00011980533599853516,-0.00014799833297729492,-0.00014406442642211914,0.0,0.01225409097969532
1280,15.505257251206785,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-1.1920928955078125e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,0.012209980050101876
1281,15.517263842979446,0.057496488094329834,0.05749619007110596,0.9970100522041321,0.99700927734375,0,0,1.3709068298339844e-06,1.0728836059570312e-06,7.748603820800781e-07,0.0,0.012006591772660613
1282,15.529525452991948,0.05715125799179077,0.05745917558670044,0.9970753788948059,0.99700927734375,0,0,-0.0003452301025390625,-3.701448440551758e-05,6.532669067382812e-05,0.0,0.012261610012501478
1283,15.541522674029693,0.057495296001434326,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,0.0003440380096435547,3.606081008911133e-05,-6.598234176635742e-05,0.0,0.011997221037745476
1284,15.55354595114477,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-1.7881393432617188e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,0.01202327711507678
1285,15.565762580139562,0.056508660316467285,0.05715125799179077,0.9968960285186768,0.99700927734375,0,0,-0.0009864568710327148,-0.0003438591957092285,-0.00011324882507324219,0.0,0.0122166289947927
